longitude,latitude
-110.997561,32.216085
-110.996572,32.217116
-111.001407,32.215572
-111.001425,32.21552
-111.002347,32.215466
-111.002199,32.215617
-111.002315,32.215465
-111.005265,32.21807
-111.005551,32.218054
-111.005704,32.219317
-111.005718,32.219209
-111.005709,32.219149
-111.0046,32.216704
-111.006732,32.213581
-111.009674,32.211456
-111.013903,32.210521
-111.020711,32.213237
-111.010802,32.215716
-111.008185,32.216863
-111.006959,32.21756
-111.007181,32.217893
-111.006842,32.217809
-111.003908,32.210745
-111.007231,32.209448
-111.011909,32.210542
-111.018926,32.209852
-111.017736,32.207273
-111.017765,32.20729
-111.018441,32.206967
-111.018439,32.206966
-111.016912,32.208535
-111.009957,32.210911
-111.009999,32.210547
-111.006378,32.210666
-111.005958,32.211921
-111.006177,32.211735
-111.006104,32.211688
-111.00429,32.214022
-111.004553,32.217703
-111.005149,32.219218
-110.99557,32.217161
-110.993373,32.214826
-110.993309,32.214701
-110.993318,32.214777
-110.993322,32.214776
-110.993304,32.214763
-110.993387,32.21482
-110.99344,32.211538
-110.993363,32.211473
-110.993444,32.211216
-110.993394,32.211222
-110.993402,32.211263
-110.993265,32.211314
-110.993283,32.21121
-110.991811,32.205185
-110.993339,32.214624
-110.993339,32.214807
-110.996237,32.215859
-111.003789,32.215577
-111.004273,32.215379
-111.006305,32.216082
-111.003512,32.210522
-111.007904,32.20722
-111.017483,32.207094
-111.020037,32.213784
-111.013604,32.216286
-111.008835,32.214972
-111.008913,32.214892999999996
-111.00873,32.2149
-111.008455,32.21444
-111.008892,32.214473
-111.00894,32.21444
-110.999924,32.206742
-110.99032,32.206452
-110.989247,32.206553
-110.989402,32.205761
